Order_ID,Order_Date,Customer_ID,Region,Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit,Sales_Channel,Customer_Segment
ORD100001,2024-10-16,CUST00457,North,Clothing,Jeans,2,815.29,0.0,1630.58,570.7,Online,Recurring
ORD100002,2023-02-02,CUST00123,North,Furniture,Study Table,5,15647.04,0.15,66499.92,14629.98,Marketplace,New
ORD100003,2024-08-26,CUST01140,North,Furniture,Sofa,3,8029.25,0.0,24087.75,5299.31,Mobile App,New
ORD100004,2024-01-25,CUST00397,East,Clothing,Kurta,3,3285.37,0.15,8377.69,2932.19,Online,VIP
ORD100005,2024-01-23,CUST00323,Central,Clothing,Kurta,3,2435.2,0.2,5844.48,2045.57,In-Store,Recurring
ORD100006,2023-03-23,CUST00954,North,Grocery,Snacks Pack,4,652.9,0.05,2481.02,198.48,Mobile App,New
ORD100007,2023-10-01,CUST00293,Central,Furniture,Bed Frame,6,7252.3,0.1,39162.42,8615.73,In-Store,Recurring
ORD100008,2023-02-27,CUST00939,North,Clothing,Sneakers,3,543.9,0.15,1386.94,485.43,Mobile App,New
ORD100009,2024-05-26,CUST01621,West,Furniture,Bookshelf,2,7294.99,0.1,13130.98,2888.82,Marketplace,VIP
ORD100010,2024-02-13,CUST01483,South,Furniture,Bed Frame,4,3635.46,0.0,14541.84,3199.2,In-Store,Recurring
ORD100011,2024-11-27,CUST01730,Central,Electronics,Smartwatch,4,36112.88,0.1,130006.37,36401.78,Online,Recurring
ORD100012,2023-04-28,CUST02200,East,Clothing,T-Shirt,3,1907.63,0.05,5436.75,1902.86,Mobile App,VIP
ORD100013,2023-07-02,CUST02080,North,Clothing,Kurta,5,1034.97,0.05,4916.11,1720.64,Online,Recurring
ORD100014,2024-05-15,CUST00080,North,Clothing,Jacket,2,513.32,0.15,872.64,305.42,Online,Recurring
ORD100015,2023-03-12,CUST02182,South,Furniture,Sofa,5,5379.65,0.1,24208.42,5325.85,Marketplace,VIP
ORD100016,2024-07-06,CUST00824,East,Grocery,Snacks Pack,4,903.63,0.05,3433.79,274.7,In-Store,New
ORD100017,2023-01-22,CUST02410,Central,Furniture,Bed Frame,2,1667.99,0.2,2668.78,587.13,In-Store,New
ORD100018,2023-02-02,CUST01354,North,Beauty & Personal Care,Shampoo,3,1704.55,0.0,5113.65,1636.37,Marketplace,New
ORD100019,2024-04-29,CUST01668,South,Electronics,Headphones,6,28586.71,0.05,162944.25,45624.39,Online,Recurring
ORD100020,2024-10-23,CUST00404,North,Grocery,Snacks Pack,1,285.22,0.0,285.22,22.82,In-Store,Recurring
ORD100021,2023-10-13,CUST01895,South,Electronics,Smartwatch,5,7265.26,0.15,30877.36,8645.66,Online,VIP
ORD100022,2023-08-31,CUST00682,West,Grocery,Tea Powder,2,870.42,0.0,1740.84,139.27,Online,VIP
ORD100023,2023-09-29,CUST01864,East,Grocery,Spices Combo,6,731.49,0.0,4388.94,351.12,In-Store,VIP
ORD100024,2024-08-16,CUST02221,North,Clothing,T-Shirt,1,2460.46,0.15,2091.39,731.99,In-Store,New
ORD100025,2024-06-04,CUST00329,South,Electronics,Tablet,1,36112.88,0.0,36112.88,10111.61,In-Store,Recurring
ORD100026,2023-02-10,CUST00336,West,Beauty & Personal Care,Trimmer,5,858.29,0.0,4291.45,1373.26,Mobile App,New
ORD100027,2024-02-10,CUST00537,East,Grocery,Snacks Pack,1,57.85,0.1,52.07,4.17,Online,New
ORD100028,2023-08-07,CUST02073,East,Furniture,Bookshelf,1,22162.73,0.0,22162.73,4875.8,Marketplace,Recurring
ORD100029,2024-12-21,CUST01240,Central,Beauty & Personal Care,Face Wash,6,2060.05,0.05,11742.28,3757.53,Online,VIP
ORD100030,2023-05-18,CUST01084,North,Electronics,Tablet,2,18429.56,0.15,31330.25,8772.47,Mobile App,New
ORD100031,2024-10-11,CUST01082,Central,Grocery,Snacks Pack,1,136.68,0.1,123.01,9.84,Online,New
ORD100032,2023-05-14,CUST01073,South,Grocery,Spices Combo,6,455.3,0.0,2731.8,218.54,In-Store,Recurring
ORD100033,2024-01-14,CUST02386,Central,Furniture,Sofa,2,2482.02,0.05,4715.84,1037.48,Online,VIP
ORD100034,2023-08-04,CUST01023,North,Clothing,Kurta,4,3902.2,0.2,12487.04,4370.46,In-Store,VIP
ORD100035,2023-07-01,CUST01689,North,Furniture,Bookshelf,4,20352.33,0.25,61056.99,13432.54,In-Store,New
ORD100036,2024-12-19,CUST00443,West,Electronics,Smartwatch,2,13771.86,0.05,26166.53,7326.63,In-Store,New
ORD100037,2024-11-06,CUST00792,West,Clothing,Jacket,1,3876.49,0.0,3876.49,1356.77,Marketplace,Recurring
ORD100038,2024-07-03,CUST01357,North,Electronics,Laptop,2,36112.88,0.05,68614.47,19212.05,Marketplace,New
ORD100039,2023-11-18,CUST01788,Central,Beauty & Personal Care,Face Wash,4,2257.81,0.05,8579.68,2745.5,Marketplace,New
