Cohort_Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,404.0,61.0,62.0,63.0,47.0,69.0,67.0,83.0,53.0,60.0,61.0,77.0,66.0,62.0,63.0,60.0,58.0,56.0,62.0,61.0,77.0,56.0,79.0,75.0
2023-02,308.0,60.0,59.0,39.0,55.0,52.0,50.0,48.0,54.0,42.0,42.0,47.0,58.0,46.0,35.0,41.0,56.0,53.0,58.0,40.0,56.0,46.0,59.0,
2023-03,293.0,48.0,44.0,47.0,40.0,52.0,44.0,42.0,63.0,44.0,50.0,42.0,53.0,46.0,46.0,53.0,40.0,49.0,42.0,52.0,38.0,46.0,,
2023-04,249.0,34.0,32.0,30.0,30.0,47.0,41.0,50.0,46.0,49.0,29.0,36.0,41.0,36.0,33.0,49.0,36.0,37.0,35.0,38.0,45.0,,,
2023-05,201.0,24.0,41.0,31.0,30.0,23.0,25.0,32.0,37.0,35.0,34.0,37.0,36.0,38.0,40.0,34.0,29.0,31.0,31.0,31.0,,,,
2023-06,168.0,22.0,25.0,22.0,26.0,36.0,22.0,34.0,18.0,27.0,27.0,26.0,29.0,36.0,31.0,28.0,20.0,28.0,30.0,,,,,
2023-07,143.0,23.0,23.0,23.0,32.0,23.0,20.0,23.0,31.0,29.0,26.0,26.0,21.0,21.0,20.0,19.0,29.0,31.0,,,,,,
2023-08,124.0,17.0,22.0,17.0,19.0,20.0,24.0,23.0,23.0,32.0,19.0,19.0,20.0,13.0,23.0,22.0,27.0,,,,,,,
2023-09,91.0,6.0,10.0,12.0,15.0,12.0,18.0,10.0,19.0,10.0,10.0,9.0,15.0,13.0,11.0,14.0,,,,,,,,
2023-10,80.0,18.0,13.0,6.0,12.0,9.0,19.0,13.0,20.0,14.0,15.0,10.0,15.0,17.0,15.0,,,,,,,,,
2023-11,65.0,9.0,12.0,13.0,16.0,10.0,14.0,10.0,15.0,12.0,11.0,16.0,12.0,9.0,,,,,,,,,,
2023-12,56.0,10.0,10.0,10.0,7.0,8.0,10.0,10.0,10.0,6.0,6.0,15.0,10.0,,,,,,,,,,,
2024-01,49.0,7.0,8.0,6.0,11.0,6.0,12.0,7.0,6.0,6.0,9.0,6.0,,,,,,,,,,,,
2024-02,50.0,9.0,8.0,9.0,9.0,5.0,9.0,9.0,8.0,6.0,5.0,,,,,,,,,,,,,
2024-03,43.0,7.0,8.0,5.0,9.0,6.0,11.0,9.0,7.0,13.0,,,,,,,,,,,,,,
2024-04,29.0,1.0,3.0,6.0,5.0,8.0,6.0,2.0,3.0,,,,,,,,,,,,,,,
2024-05,18.0,5.0,3.0,3.0,1.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,
2024-06,22.0,4.0,4.0,3.0,7.0,4.0,5.0,,,,,,,,,,,,,,,,,
2024-07,17.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
2024-08,14.0,3.0,6.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
2024-09,15.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
2024-10,10.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
2024-11,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2024-12,7.0,,,,,,,,,,,,,,,,,,,,,,,
