Year_Month,Sales,MoM_Growth_%
2023-01,13040077.16,
2023-02,10223903.02,-21.6
2023-03,12498656.91,22.25
2023-04,12847631.86,2.79
2023-05,11343697.96,-11.71
2023-06,13990317.65,23.33
2023-07,11058792.35,-20.95
2023-08,13318160.02,20.43
2023-09,12635245.26,-5.13
2023-10,12492364.81,-1.13
2023-11,13345016.36,6.83
2023-12,12353340.82,-7.43
2024-01,14392243.38,16.5
2024-02,11833326.61,-17.78
2024-03,13259238.16,12.05
2024-04,12750781.54,-3.83
2024-05,12845771.42,0.74
2024-06,12025945.79,-6.38
2024-07,13373925.13,11.21
2024-08,13338414.73,-0.27
2024-09,11843546.52,-11.21
2024-10,11506733.66,-2.84
2024-11,13031974.42,13.26
2024-12,14451249.63,10.89
