Order_ID,Order_Date,Customer_ID,Region,Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit,Sales_Channel,Customer_Segment
ORD100001,2024-10-16,CUST00457,North,Clothing,Jeans,2,815.29,0.0,1630.58,599.52,Online,Recurring
ORD100002,2023-02-02,CUST00123,North,Furniture,Study Table,5,15647.04,0.15,66499.92,12627.26,Marketplace,New
ORD100003,2024-08-26,CUST01140,North,Furniture,Sofa,3,8029.25,0.0,24087.75,6400.63,Mobile App,New
ORD100004,2024-01-25,CUST00397,East,Clothing,Kurta,3,3285.37,0.15,8377.69,2898.2,Online,VIP
ORD100005,2024-01-23,CUST00323,Central,Clothing,Kurta,3,2435.2,0.2,5844.48,1794.0,In-Store,Recurring
ORD100006,2023-03-23,CUST00954,North,Grocery,Snacks Pack,4,652.9,0.05,2481.02,114.79,Mobile App,New
ORD100007,2023-10-01,CUST00293,Central,Furniture,Bed Frame,6,7252.3,0.1,39162.42,8143.65,In-Store,Recurring
ORD100008,2023-02-27,CUST00939,North,Clothing,Sneakers,3,543.9,0.15,1386.94,537.63,Mobile App,New
ORD100009,2024-05-26,CUST01621,West,Furniture,Bookshelf,2,7294.99,0.1,13130.98,2940.0,Marketplace,VIP
ORD100010,2024-02-13,CUST01483,South,Furniture,Bed Frame,4,3635.46,0.0,14541.84,3724.31,In-Store,Recurring
ORD100011,2024-11-27,CUST01730,Central,Electronics,Smartwatch,4,39136.46,0.1,140891.26,39859.75,Online,Recurring
ORD100012,2023-04-28,CUST02200,East,Clothing,T-Shirt,3,1907.63,0.05,5436.75,1632.79,Mobile App,VIP
ORD100013,2023-07-02,CUST02080,North,Clothing,Kurta,5,1034.97,0.05,4916.11,1849.69,Online,Recurring
ORD100014,2024-05-15,CUST00080,North,Clothing,Jacket,2,513.32,0.15,872.64,344.43,Online,Recurring
ORD100015,2023-03-12,CUST02182,South,Furniture,Sofa,5,5379.65,0.1,24208.42,6227.45,Marketplace,VIP
ORD100016,2024-07-06,CUST00824,East,Grocery,Snacks Pack,4,903.63,0.05,3433.79,144.56,In-Store,New
ORD100017,2023-01-22,CUST02410,Central,Furniture,Bed Frame,2,1667.99,0.2,2668.78,622.12,In-Store,New
ORD100018,2023-02-02,CUST01354,North,Beauty & Personal Care,Shampoo,3,1704.55,0.0,5113.65,1656.43,Marketplace,New
ORD100019,2024-04-29,CUST01668,South,Electronics,Headphones,6,28586.71,0.05,162944.25,44175.85,Online,Recurring
ORD100020,2024-10-23,CUST00404,North,Grocery,Snacks Pack,1,285.22,0.0,285.22,23.85,In-Store,Recurring
ORD100021,2023-10-13,CUST01895,South,Electronics,Smartwatch,5,7265.26,0.15,30877.36,10187.31,Online,VIP
ORD100022,2023-08-31,CUST00682,West,Grocery,Tea Powder,2,870.42,0.0,1740.84,80.89,Online,VIP
ORD100023,2023-09-29,CUST01864,East,Grocery,Spices Combo,6,731.49,0.0,4388.94,215.01,In-Store,VIP
ORD100024,2024-08-16,CUST02221,North,Clothing,T-Shirt,1,2460.46,0.15,2091.39,819.7,In-Store,New
ORD100025,2024-06-04,CUST00329,South,Electronics,Tablet,1,44213.28,0.0,44213.28,11954.28,In-Store,Recurring
ORD100026,2023-02-10,CUST00336,West,Beauty & Personal Care,Trimmer,5,858.29,0.0,4291.45,1246.35,Mobile App,New
ORD100027,2024-02-10,CUST00537,East,Grocery,Snacks Pack,1,57.85,0.1,52.07,6.76,Online,New
ORD100028,2023-08-07,CUST02073,East,Furniture,Bookshelf,1,22162.73,0.0,22162.73,4399.27,Marketplace,Recurring
ORD100029,2024-12-21,CUST01240,Central,Beauty & Personal Care,Face Wash,6,2060.05,0.05,11742.28,4264.51,Online,VIP
ORD100030,2023-05-18,CUST01084,North,Electronics,Tablet,2,18429.56,0.15,31330.25,7865.87,Mobile App,New
ORD100031,2024-10-11,CUST01082,Central,Grocery,Snacks Pack,1,136.68,0.1,123.01,13.89,Online,New
ORD100032,2023-05-14,CUST01073,South,Grocery,Spices Combo,6,455.3,0.0,2731.8,112.52,In-Store,Recurring
ORD100033,2024-01-14,CUST02386,Central,Furniture,Sofa,2,2482.02,0.05,4715.84,1225.64,Online,VIP
ORD100034,2023-08-04,CUST01023,North,Clothing,Kurta,4,3902.2,0.2,12487.04,3939.1,In-Store,VIP
ORD100035,2023-07-01,CUST01689,North,Furniture,Bookshelf,4,20352.33,0.25,61056.99,14867.73,In-Store,New
ORD100036,2024-12-19,CUST00443,West,Electronics,Smartwatch,2,13771.86,0.05,26166.53,6933.24,In-Store,New
ORD100037,2024-11-06,CUST00792,West,Clothing,Jacket,1,3876.49,0.0,3876.49,1299.07,Marketplace,Recurring
ORD100038,2024-07-03,CUST01357,North,Electronics,Laptop,2,38157.32,0.05,72498.91,16952.11,Marketplace,New
ORD100039,2023-11-18,CUST01788,Central,Beauty & Personal Care,Face Wash,4,2257.81,,9031.24,2668.48,Marketplace,New
ORD100040,2024-07-05,CUST00808,East,Grocery,Rice 5kg,6,923.73,0.1,4988.14,306.23,Online,Recurring
ORD100041,2023-11-04,CUST02078,East,Grocery,Snacks Pack,4,711.35,0.1,2560.86,109.42,Marketplace,Recurring
ORD100042,2024-01-24,CUST00713,Central,Beauty & Personal Care,Perfume,4,1414.05,0.0,5656.2,1699.05,In-Store,Recurring
ORD100043,2024-08-16,CUST02485,East,Grocery,Tea Powder,4,690.85,0.1,2487.06,192.3,In-Store,Recurring
ORD100044,2023-10-18,CUST02112,Central,Clothing,T-Shirt,2,2788.34,0.0,5576.68,2122.8,In-Store,New
ORD100045,2023-09-08,CUST01947,Central,Electronics,Smartwatch,4,57712.65,,196223.01,48946.56,Marketplace,Recurring
ORD100046,2023-09-07,CUST00605,North,Electronics,Smartwatch,2,12255.92,0.2,19609.47,5525.87,Online,Recurring
ORD100047,2023-05-05,CUST01870,South,Grocery,Spices Combo,5,614.68,0.05,2919.73,266.47,Marketplace,Recurring
ORD100048,2024-07-15,CUST01827,South,Grocery,Tea Powder,3,763.19,0.15,1946.13,112.35,Marketplace,Recurring
ORD100049,2023-10-09,CUST01802,North,Clothing,Jeans,3,1541.64,0.15,3931.18,1211.03,In-Store,New
ORD100050,2024-12-11,CUST00626,South,Electronics,Smartwatch,4,22175.74,0.05,84267.81,22885.23,In-Store,Recurring
ORD100051,2024-02-03,CUST02393,North,Beauty & Personal Care,Skincare Kit,4,113.15,0.05,429.97,128.93,Marketplace,VIP
ORD100052,2024-03-05,CUST02205,Central,Beauty & Personal Care,Shampoo,4,625.61,0.1,2252.2,717.47,Marketplace,New
ORD100053,2024-11-26,CUST01657,South,Grocery,Cooking Oil,5,556.42,0.05,2642.99,235.73,Online,New
ORD100054,2024-03-14,CUST00556,West,Furniture,Office Chair,3,10408.32,0.0,31224.96,6728.04,Mobile App,Recurring
ORD100055,2024-01-24,CUST01140,West,Clothing,T-Shirt,4,370.72,0.1,1334.59,407.33,Mobile App,New
ORD100056,2023-03-12,CUST00165,North,Furniture,Study Table,1,16101.01,0.0,16101.01,2940.4,Online,Recurring
ORD100057,2023-08-12,CUST01905,East,Clothing,Jeans,5,2545.82,0.15,10819.74,4023.17,In-Store,VIP
ORD100058,2023-04-21,CUST02371,North,Clothing,Kurta,6,3658.7,0.1,19756.98,6710.76,In-Store,New
ORD100059,2024-12-08,CUST00995,North,Clothing,Kurta,1,3245.04,0.15,2758.28,1043.36,Mobile App,Recurring
ORD100060,2024-11-08,CUST01518,North,Beauty & Personal Care,Perfume,1,2137.98,0.25,1603.49,511.55,Marketplace,VIP
ORD100061,2024-10-12,CUST01884,South,Grocery,Cooking Oil,6,544.66,0.15,2777.77,158.36,Marketplace,Recurring
ORD100062,2024-08-29,CUST01100,East,Furniture,Office Chair,3,22218.21,0.0,66654.63,16333.56,Marketplace,New
ORD100063,2024-05-21,CUST01332,South,Grocery,Cooking Oil,3,806.94,0.0,2420.82,140.32,Mobile App,Recurring
ORD100064,2024-06-13,CUST00783,North,Furniture,Sofa,4,14546.2,0.0,58184.8,13909.71,Marketplace,Recurring
ORD100065,2023-01-18,CUST00382,East,Furniture,Sofa,6,7216.91,0.15,36806.24,8397.55,Marketplace,Recurring
ORD100066,2023-12-19,CUST01743,Central,Clothing,Jacket,6,1977.86,0.05,11273.8,3665.57,Online,Recurring
ORD100067,2023-11-20,CUST00490,Central,Furniture,Study Table,2,18856.95,0.05,35828.21,8686.85,Mobile App,VIP
ORD100068,2023-07-18,CUST01214,South,Clothing,Jeans,3,351.35,0.1,948.64,296.6,Online,VIP
ORD100069,2024-07-20,CUST01197,South,Grocery,Rice 5kg,1,594.36,0.05,564.64,43.97,Mobile App,New
ORD100070,2023-02-22,CUST01035,West,Electronics,Headphones,4,32471.27,0.1,116896.57,34244.22,Online,New
ORD100071,2024-07-30,CUST01245,North,Furniture,Office Chair,5,19464.19,0.15,82722.81,18994.21,In-Store,Recurring
ORD100072,2024-01-25,CUST01846,West,Clothing,Kurta,4,1428.91,0.1,5144.08,1574.21,Online,VIP
ORD100073,2023-08-01,CUST00865,East,Electronics,Smartphone,2,12123.24,0.0,24246.48,5956.23,Marketplace,Recurring
ORD100074,2024-08-31,CUST01925,East,Electronics,Smartphone,3,46244.88,0.15,117924.44,37259.49,Online,Recurring
ORD100075,2023-09-28,CUST02416,South,Grocery,Rice 5kg,5,262.57,0.0,1312.85,158.65,In-Store,New
ORD100076,2023-06-19,CUST01260,Central,Beauty & Personal Care,Perfume,4,397.45,0.2,1271.84,382.07,Marketplace,VIP
ORD100077,2024-05-27,CUST02212,West,Grocery,Rice 5kg,5,86.87,0.05,412.63,42.69,Mobile App,New
ORD100078,2023-08-23,CUST02357,Central,Electronics,Laptop,5,3573.87,0.25,13402.01,3317.25,Marketplace,VIP
ORD100079,2023-07-05,CUST02398,West,Grocery,Rice 5kg,4,379.56,0.0,1518.24,94.29,Online,VIP
ORD100080,2023-12-04,CUST01687,West,Clothing,Sneakers,5,434.78,0.0,2173.9,720.54,Mobile App,New
ORD100081,2024-02-18,CUST02108, north ,Beauty & Personal Care,Skincare Kit,4,229.09,0.15,778.91,238.49,Marketplace,Recurring
ORD100082,2023-02-22,CUST00834,East,Beauty & Personal Care,Shampoo,3,1150.48,0.15,2933.72,934.31,Online,VIP
ORD100083,2024-09-15,CUST00981,South,Clothing,Kurta,1,2342.33,,2342.33,755.33,Online,Recurring
ORD100084,2023-05-01,CUST00631,West,Clothing,Kurta,6,1310.67,0.05,7470.82,2973.57,In-Store,Recurring
